Diet;Gene;Mouse;ARC;Cell ID;X;Y
0;gfap_all;1;1;1;7.951;319.162
0;gfap_all;1;1;2;67.581;340.932
0;gfap_all;1;1;3;86.889;208.421
0;gfap_all;1;1;4;25.177;207.285
0;gfap_all;1;1;5;214.983;195.044
0;gfap_all;1;1;6;206.906;203.12
0;gfap_all;1;1;7;224.322;50.922
0;gfap_all;1;1;8;272.026;114.906
0;gfap_all;1;1;9;396.965;46.379
0;gfap_all;1;1;10;284.772;69.095
0;gfap_all;1;1;11;303.45;51.174
0;gfap_all;1;1;12;287.801;28.458
0;gfap_all;1;1;13;312.537;28.206
0;gfap_all;1;1;14;180.026;152.009
0;gfap_all;1;1;15;25.051;163.115
0;gfap_all;1;1;16;32.623;334.622
0;gfap_all;1;2;1;47.325;371.031
0;gfap_all;1;2;2;95.471;339.165
0;gfap_all;1;2;3;58.873;297.771
0;gfap_all;1;2;4;65.94;252.465
0;gfap_all;1;2;5;89.918;200.47
0;gfap_all;1;2;6;111.12;208.799
0;gfap_all;1;2;7;64.678;117.178
0;gfap_all;1;2;8;106.324;153.776
0;gfap_all;1;2;9;39.438;68.085
0;gfap_all;1;2;10;195.675;32.371
0;gfap_all;1;2;11;176.997;142.67
0;gfap_all;1;2;12;267.735;127.778
0;gfap_all;1;2;13;239.971;17.731
0;gfap_all;1;2;14;246.786;29.594
0;gfap_all;1;2;15;291.713;25.303
0;gfap_all;1;2;16;283.384;21.012
0;gfap_all;1;2;17;294.238;64.678
0;gfap_all;1;2;18;313.42;43.981
0;gfap_all;1;2;19;304.018;35.778
0;gfap_all;1;3;1;31.045;382.767
0;gfap_all;1;3;2;19.498;364.027
0;gfap_all;1;3;3;4.354;371.599
0;gfap_all;1;3;4;77.803;342.825
0;gfap_all;1;3;5;130.05;192.141
0;gfap_all;1;3;6;211.071;155.795
0;gfap_all;1;3;7;28.206;76.667
0;gfap_all;1;3;8;230.254;109.606
0;gfap_all;1;3;9;281.996;91.937
0;gfap_all;1;3;10;240.855;71.745
0;gfap_all;1;3;11;286.792;39.943
0;gfap_all;1;3;12;297.645;59.882
0;gfap_all;1;3;13;199.839;37.545
0;gfap_all;1;3;14;324.778;80.958
0;gfap_all;1;4;1;27.827;256.882
0;gfap_all;1;4;2;42.467;168.541
0;gfap_all;1;4;3;222.682;170.939
0;gfap_all;1;4;4;27.575;108.596
0;gfap_all;1;4;5;43.476;92.947
